"RandN","ID","TimeP","Site","Genotype","Treat","Treatment","Set","SA_cm2","Chl_ug.cm2","Sym10.6_cm2"
"M12_6","K12_H_N_21","M12","KL","AC12","H","Heat","M12.KL.AC12.H",39.9753644209786,0.150391791388189,0.0735870214720605
"M12_61","K12_H_N_22","M12","KL","AC12","H","Heat","M12.KL.AC12.H",52.6626370238412,0.0712236773287408,0.0438142130815708
"M12_62","K10_H_N_22","M12","KL","AC10","H","Heat","M12.KL.AC10.H",42.7372196814657,0.187660780457325,0.301750092685433
"M12_63","S12_H_N_24","M12","SS","AC12","H","Heat","M12.SS.AC12.H",65.436217603594,NA,0.639416542280432
"M12_65","S8_C_N_22","M12","SS","AC8","C","Control","M12.SS.AC8.C",36.0483514724736,2.08896052821819,0.631857742992568
"M12_69","S12_C_N_24","M12","SS","AC12","C","Control","M12.SS.AC12.C",69.6653084712148,2.72237364854796,0.786189011459421
"M12_70","K8_H_N_24","M12","KL","AC8","H","Heat","M12.KL.AC8.H",40.49321228232,0.130720673951351,0.155531054342898
"M12_75","S8_C_N_21","M12","SS","AC8","C","Control","M12.SS.AC8.C",65.8677574880451,2.16979777031688,0.756220887116744
"M12_76","S12_C_N_21","M12","SS","AC12","C","Control","M12.SS.AC12.C",50.3323216478052,3.31099568913422,1.4029967958587
"M12_78","K8_C_N_24","M12","KL","AC8","C","Control","M12.KL.AC8.C",40.5795202592102,1.5914929399724,0.564055165112627
"M12_79","K10_H_N_24","M12","KL","AC10","H","Heat","M12.KL.AC10.H",58.1431935563703,0.15747053850978,0.254903851912279
"M12_87","K12_C_N_23","M12","KL","AC12","C","Control","M12.KL.AC12.C",38.1197429178389,1.81117171091127,0.545853051654831
"M12_88","S10_C_N_24","M12","SS","AC10","C","Control","M12.SS.AC10.C",29.1437133212559,1.71466070397945,0.804653536819427
"M12_89","S12_H_N_21","M12","SS","AC12","H","Heat","M12.SS.AC12.H",44.2476092770446,0.0758196895790361,0.101656475310036
"M12_9","K8_H_N_21","M12","KL","AC8","H","Heat","M12.KL.AC8.H",42.3488337854598,0.109610259639793,0.0986926823339115
"M12_90","K12_H_N_24","M12","KL","AC12","H","Heat","M12.KL.AC12.H",38.5081288138449,0.122045227283119,0.113216615148346
"M12_92","K10_C_N_23","M12","KL","AC10","C","Control","M12.KL.AC10.C",45.6716908957332,1.1080708641932,0.489483607056215
"M12_93","S12_C_N_22","M12","SS","AC12","C","Control","M12.SS.AC12.C",40.9679061552162,3.19951588860924,1.37232349114922
"M12_96","S10_C_N_22","M12","SS","AC10","C","Control","M12.SS.AC10.C",33.4591121657669,2.05779518771704,1.12336871982086
"M4_10","K12_H_N_14","M4","KL","AC12","H","Heat","M4.KL.AC12.H",18.9593720482097,0.484588482676085,0.168823101939299
"M4_11","S8_H_N_14","M4","SS","AC8","H","Heat","M4.SS.AC8.H",31.3877207204016,0.333901382221781,0.121385430752974
"M4_16","K8_C_N_16","M4","KL","AC8","C","Control","M4.KL.AC8.C",31.0424888128407,0.744561219710342,0.139059790792753
"M4_17","S12_C_N_15","M4","SS","AC12","C","Control","M4.SS.AC12.C",30.7404108937249,1.70257971440075,0.408002353753841
"M4_18","K12_C_N_16","M4","KL","AC12","C","Control","M4.KL.AC12.C",25.1735463843057,1.07563271327084,0.140711997663086
"M4_2","K10_C_N_15","M4","KL","AC10","C","Control","M4.KL.AC10.C",17.9668303139722,0.401439200680324,0.125000178704503
"M4_20","K12_C_N_14","M4","KL","AC12","C","Control","M4.KL.AC12.C",25.303008349641,1.08851351926529,0.248915856682684
"M4_21","K12_C_N_13","M4","KL","AC12","C","Control","M4.KL.AC12.C",23.1884629158306,0.731732416313642,0.0812861122723746
"M4_24","K12_C_N_15","M4","KL","AC12","C","Control","M4.KL.AC12.C",20.2108377131179,1.00520161286934,0.156900473152668
"M4_25","S12_H_N_14","M4","SS","AC12","H","Heat","M4.SS.AC12.H",33.9338060386632,0.565945063106649,0.15094204269819
"M4_26","K8_C_N_13","M4","KL","AC8","C","Control","M4.KL.AC8.C",43.0392976005815,0.36854140791366,0.174819209872476
"M4_27","K10_H_N_15","M4","KL","AC10","H","Heat","M4.KL.AC10.H",17.4489824526308,0.134800601680856,0.154104115085208
"M4_28","S8_C_N_15","M4","SS","AC8","C","Control","M4.SS.AC8.C",53.3099468505179,1.59360691613923,0.117907714626411
"M4_31","K8_H_N_13","M4","KL","AC8","H","Heat","M4.KL.AC8.H",42.7372196814657,0.142262881051121,0.0941953648366565
"M4_32","S10_H_N_13","M4","SS","AC10","H","Heat","M4.SS.AC10.H",54.2593345963104,0.251735486651707,0.30831929887208
"M4_33","S10_H_N_14","M4","SS","AC10","H","Heat","M4.SS.AC10.H",23.1453089273855,0.229835054266188,0.356000519407661
"M4_36","K10_C_N_13","M4","KL","AC10","C","Control","M4.KL.AC10.C",22.1096132047028,0.910158391903468,0.225227820762635
"M4_38","K8_H_N_15","M4","KL","AC8","H","Heat","M4.KL.AC8.H",25.3893163265312,0.141762514872139,0.0979634098063881
"M4_4","K12_H_N_16","M4","KL","AC12","H","Heat","M4.KL.AC12.H",19.0888340135451,0.458814299175389,0.173808677766581
"M4_41","S12_H_N_13","M4","SS","AC12","H","Heat","M4.SS.AC12.H",40.3637503169847,0.651287350495232,0.346133347131548
"M4_43","S12_C_N_16","M4","SS","AC12","C","Control","M4.SS.AC12.C",47.7430823410986,1.8152326106812,0.305776654630298
"M4_45","K10_C_N_14","M4","KL","AC10","C","Control","M4.KL.AC10.C",18.3120622215331,0.633343923421989,0.178920318223214
"M4_47","K8_H_N_16","M4","KL","AC8","H","Heat","M4.KL.AC8.H",31.4308747088467,0.124870848691185,0.0737975007532047
"M4_5","S8_H_N_15","M4","SS","AC8","H","Heat","M4.SS.AC8.H",53.6983327465239,0.222810455893987,0.114543258336045
"M4_51","S10_C_N_15","M4","SS","AC10","C","Control","M4.SS.AC10.C",18.0531382908624,0.747126609384417,0.453094407643252
"M4_52","S8_H_N_16","M4","SS","AC8","H","Heat","M4.SS.AC8.H",35.9620434955834,0.182052316747167,0.276327567459297
"M4_54","S10_H_N_15","M4","SS","AC10","H","Heat","M4.SS.AC10.H",19.3046039557706,0.17654596840259,0.306212964199815
"M4_55","K8_C_N_15","M4","KL","AC8","C","Control","M4.KL.AC8.C",15.4638989841558,0.686484912001182,0.225216163373052
"M4_56","K8_H_N_14","M4","KL","AC8","H","Heat","M4.KL.AC8.H",34.4084999115594,0.110408378058656,0.116474243582285
"M4_57","S8_C_N_14","M4","SS","AC8","C","Control","M4.SS.AC8.C",34.7968858075654,0.964208890767232,0.550191477072859
"M4_58","S12_H_N_16","M4","SS","AC12","H","Heat","M4.SS.AC12.H",58.1000395679252,0.391006618393793,0.282185694225431
"M4_6","K10_H_N_16","M4","KL","AC10","H","Heat","M4.KL.AC10.H",18.1826002561977,0.153861381792541,0.167616950109276
"M4_61","S10_H_N_16","M4","SS","AC10","H","Heat","M4.SS.AC10.H",15.2049750534851,0.3126531491575,0.654216134193525
"M4_63","S12_C_N_14","M4","SS","AC12","C","Control","M4.SS.AC12.C",25.2598543611959,1.60924443263795,0.6759079350128
"M4_7","S10_C_N_13","M4","SS","AC10","C","Control","M4.SS.AC10.C",45.3696129766175,0.995831138269096,0.308400118096911
"M4_70","S12_H_N_15","M4","SS","AC12","H","Heat","M4.SS.AC12.H",44.6791491614958,0.515882697691649,0.456690881159047
"M4_71","S10_C_N_14","M4","SS","AC10","C","Control","M4.SS.AC10.C",37.9039729756134,1.14279524280658,0.536638204472307
"M4_72","K12_H_N_15","M4","KL","AC12","H","Heat","M4.KL.AC12.H",20.8581475397946,0.49912236837608,0.444894925702083
"M4_76","S8_C_N_13","M4","SS","AC8","C","Control","M4.SS.AC8.C",43.0392976005815,1.68119340619433,0.634828436410886
"M4_77","K10_C_N_16","M4","KL","AC10","C","Control","M4.KL.AC10.C",15.7659769032715,0.70821808686546,0.356096170535111
"M4_78","S12_C_N_13","M4","SS","AC12","C","Control","M4.SS.AC12.C",25.3893163265312,1.83381227762115,0.597094297657726
"M4_79","K10_H_N_13","M4","KL","AC10","H","Heat","M4.KL.AC10.H",16.2838247646129,0.132431008347602,0.249936735308313
"M4_8","S10_C_N_16","M4","SS","AC10","C","Control","M4.SS.AC10.C",45.542228930398,1.09873549249879,0.243238358336169
"M4_80","S8_H_N_13","M4","SS","AC8","H","Heat","M4.SS.AC8.H",31.2582587550663,0.150579938042895,0.14010921191476
"M4_81","S8_C_N_16","M4","SS","AC8","C","Control","M4.SS.AC8.C",51.8427112433841,1.52877189674593,0.411817350751009
"M4_88","K10_H_N_14","M4","KL","AC10","H","Heat","M4.KL.AC10.H",28.021709621683,0.209606911187713,0.469351234366623
"M4_89","K12_H_N_13","M4","KL","AC12","H","Heat","M4.KL.AC12.H",16.7585186375091,0.432348277517183,0.237111649660141
"M4_96","K8_C_N_14","M4","KL","AC8","C","Control","M4.KL.AC8.C",24.6125445345192,0.522874286671882,0.151111559992659
"M8_11","S10_H_N_20","M8","SS","AC10","H","Heat","M8.SS.AC10.H",20.1245297362277,NA,0.936727478707962
"M8_12","S8_C_N_20","M8","SS","AC8","C","Control","M8.SS.AC8.C",38.4649748253998,0.427131437745046,0.741907153963759
"M8_13","K12_C_N_20","M8","KL","AC12","C","Control","M8.KL.AC12.C",20.0813757477826,1.36663545091179,0.797052960963961
"M8_17","K10_C_N_19","M8","KL","AC10","C","Control","M8.KL.AC10.C",18.9593720482097,0.644571629390399,0.511273262392428
"M8_18","S12_H_N_19","M8","SS","AC12","H","Heat","M8.SS.AC12.H",41.7878319356733,0.579698256914199,1.29984250160704
"M8_25","S10_C_N_17","M8","SS","AC10","C","Control","M8.SS.AC10.C",31.9918765586332,1.12209214322084,0.680247686006005
"M8_27","S10_H_N_18","M8","SS","AC10","H","Heat","M8.SS.AC10.H",25.5619322803117,0.491053905042018,0.878792094183817
"M8_28","K12_H_N_20","M8","KL","AC12","H","Heat","M8.KL.AC12.H",19.0025260366549,0.629718384646218,1.27952504593859
"M8_29","S12_C_N_20","M8","SS","AC12","C","Control","M8.SS.AC12.C",24.4830825691839,1.72165126188214,0.890150410530043
"M8_3","K12_C_N_17","M8","KL","AC12","C","Control","M8.KL.AC12.C",18.5278321637586,1.03327522781901,0.551158382143311
"M8_32","S10_C_N_20","M8","SS","AC10","C","Control","M8.SS.AC10.C",24.0515426847328,0.725137685703247,0.423865700991864
"M8_35","K10_H_N_17","M8","KL","AC10","H","Heat","M8.KL.AC10.H",30.6972569052798,0.483742245954423,0.560842294577756
"M8_36","S8_C_N_19","M8","SS","AC8","C","Control","M8.SS.AC8.C",37.9039729756133,1.21149833104684,0.712101605216049
"M8_39","K8_C_N_18","M8","KL","AC8","C","Control","M8.KL.AC8.C",11.9684259201018,0.817804284819165,0.378014120670726
"M8_43","S10_C_N_18","M8","SS","AC10","C","Control","M8.SS.AC10.C",19.7361438402217,1.08605308988056,0.792115224056067
"M8_45","S12_C_N_19","M8","SS","AC12","C","Control","M8.SS.AC12.C",33.7180360964376,1.8154833560962,0.898701214784023
"M8_46","S12_C_N_18","M8","SS","AC12","C","Control","M8.SS.AC12.C",39.328054594302,2.11873943065754,1.1001134036838
"M8_48","K10_C_N_20","M8","KL","AC10","C","Control","M8.KL.AC10.C",28.9710973674754,1.27237960184128,0.982006985760207
"M8_52","S10_H_N_19","M8","SS","AC10","H","Heat","M8.SS.AC10.H",29.186867309701,0.363019432252613,0.643144048342621
"M8_54","K10_C_N_17","M8","KL","AC10","C","Control","M8.KL.AC10.C",26.7702439567748,1.02696237575287,0.591854150660077
"M8_55","K10_H_N_18","M8","KL","AC10","H","Heat","M8.KL.AC10.H",25.9503181763177,0.466831784143171,0.436805434252616
"M8_56","K8_C_N_17","M8","KL","AC8","C","Control","M8.KL.AC8.C",12.9178136658942,0.617200676487806,0.281510485756667
"M8_58","K10_H_N_20","M8","KL","AC10","H","Heat","M8.KL.AC10.H",23.4042328580561,0.309439751515167,0.508184996796679
