"ID","TimeP","Site","Genotype","Treat","Treatment","Seas","Set","Score_Full","Score_TP","RandN","SA_cm2","Chl_ug.cm2","Sym10.6_cm2"
"S10_C_N_5","W2","SS","AC10","C","Control","Summer1","W2.SS.AC10.C",20.4952358663782,21.320557411438,"W2_78",36.4367373684796,0.549399080317144,0.368422448592031
"S10_C_N_6","W2","SS","AC10","C","Control","Summer1","W2.SS.AC10.C",21.2086848878929,20.9396761444526,"W2_64",28.2374795639086,0.729810178467199,0.346421853191985
"S10_C_N_7","W2","SS","AC10","C","Control","Summer1","W2.SS.AC10.C",21.0831085999767,21.6610294951618,"W2_92",28.1943255754634,0.810198489723035,0.599156023604312
"S10_C_N_8","W2","SS","AC10","C","Control","Summer1","W2.SS.AC10.C",20.6050343330855,21.7784467545633,"W2_77",29.4457912403717,0.886354740941145,0.357945891620298
"S10_C_N_9","M1","SS","AC10","C","Control","Summer2","M1.SS.AC10.C",20.8324445920046,20.5305206307944,"M1_59",24.5693905460741,0.668012771252448,0.575159565863061
"S10_H_N_10","M1","SS","AC10","H","Heat","Summer2","M1.SS.AC10.H",20.124488099798,20.0975560467468,"M1_71",36.6525073107051,0.200848469590234,0.439223976235264
"S10_H_N_11","M1","SS","AC10","H","Heat","Summer2","M1.SS.AC10.H",20.3258116701546,20.5999302848382,"M1_37",50.7207075438112,0.298498070443039,0.489031230066634
"S10_H_N_12","M1","SS","AC10","H","Heat","Summer2","M1.SS.AC10.H",20.3531256675171,20.5539938955051,"M1_52",51.1522474282623,0.326365588466979,0.470841677753789
"S10_H_N_13","M4","SS","AC10","H","Heat","Winter","M4.SS.AC10.H",20.6595933117544,20.2702473072535,"M4_32",54.2593345963104,0.251735486651707,0.30831929887208
"S10_H_N_14","M4","SS","AC10","H","Heat","Winter","M4.SS.AC10.H",20.3863696006066,19.6938782761119,"M4_33",23.1453089273855,0.229835054266188,0.356000519407661
"S10_H_N_15","M4","SS","AC10","H","Heat","Winter","M4.SS.AC10.H",20.5085240393949,20.1995531289821,"M4_54",19.3046039557706,0.17654596840259,0.306212964199815
"S10_H_N_16","M4","SS","AC10","H","Heat","Winter","M4.SS.AC10.H",20.4630552845059,20.1348425760363,"M4_61",15.2049750534851,0.3126531491575,0.654216134193525
"S10_H_N_5","W2","SS","AC10","H","Heat","Summer1","W2.SS.AC10.H",20.2827358800942,19.7553881069332,"W2_54",17.7510603717466,0.145726505674966,0.423997205934771
"S10_H_N_6","W2","SS","AC10","H","Heat","Summer1","W2.SS.AC10.H",20.5860315119147,20.6407488433882,"W2_72",39.6732865018629,0.16974326876139,0.487608708673319
"S10_H_N_7","W2","SS","AC10","H","Heat","Summer1","W2.SS.AC10.H",20.0197095053419,20.1460544759317,"W2_43",16.8448266143993,0.264000342763907,0.564054959869875
"S10_H_N_8","W2","SS","AC10","H","Heat","Summer1","W2.SS.AC10.H",20.3625396732497,20.9140149363601,"W2_91",41.9604478894538,0.168399060434624,0.530110642731978
"S10_H_N_9","M1","SS","AC10","H","Heat","Summer2","M1.SS.AC10.H",20.7203293275726,20.4362354102025,"M1_73",56.4601880070109,0.387689109311537,0.633345393670309
"S12_C_N_10","M1","SS","AC12","C","Control","Summer2","M1.SS.AC12.C",22.0077797982974,22.9751490592608,"M1_46",36.9545852298209,1.76772200058731,1.02121941743636
"S12_C_N_11","M1","SS","AC12","C","Control","Summer2","M1.SS.AC12.C",21.8441141971956,22.6212718103191,"M1_5",36.9114312413758,1.93416865540845,0.28967828232069
"S12_C_N_13","M4","SS","AC12","C","Control","Winter","M4.SS.AC12.C",21.6504972923888,21.5276505333144,"M4_78",25.3893163265312,1.83381227762115,0.597094297657726
"S12_C_N_14","M4","SS","AC12","C","Control","Winter","M4.SS.AC12.C",21.4525018788405,20.8881424537992,"M4_63",25.2598543611959,1.60924443263795,0.6759079350128
"S12_C_N_15","M4","SS","AC12","C","Control","Winter","M4.SS.AC12.C",21.8326898859209,21.2918013094233,"M4_17",30.7404108937249,1.70257971440075,0.408002353753841
"S12_C_N_16","M4","SS","AC12","C","Control","Winter","M4.SS.AC12.C",21.386367493009,21.2499983630596,"M4_43",47.7430823410986,1.8152326106812,0.305776654630298
