Row,Column,Well,Plate,RandN,Rep,A630,A663,A750
A,3,A3,W2_1,W2_17,A,0.066,0.119,0.045
H,2,H2,W2_1,W2_16,A,0.067,0.136,0.044
G,2,G2,W2_1,W2_15,A,0.061,0.109,0.044
F,2,F2,W2_1,W2_14,A,0.049,0.065,0.045
E,2,E2,W2_1,W2_13,A,0.043,0.052,0.042
D,2,D2,W2_1,W2_12,A,0.057,0.11,0.042
C,2,C2,W2_1,W2_11,A,0.044,0.063,0.04
B,2,B2,W2_1,W2_10,A,0.054,0.1,0.042
H,1,H1,W2_1,W2_8,A,0.061,0.117,0.045
G,1,G1,W2_1,W2_7,A,0.061,0.119,0.045
F,1,F1,W2_1,W2_6,A,0.045,0.05,0.046
E,1,E1,W2_1,W2_5,A,0.076,0.162,0.048
D,1,D1,W2_1,W2_4,A,0.073,0.15,0.048
C,1,C1,W2_1,W2_3,A,0.062,0.131,0.041
B,1,B1,W2_1,W2_2,A,0.055,0.104,0.041
A,1,A1,W2_1,W2_1,A,0.071,0.154,0.047
H,12,H12,W2_2,W2_96,B,0.043,0.058,0.04
G,12,G12,W2_2,W2_95,B,0.054,0.113,0.037
F,12,F12,W2_2,W2_94,B,0.044,0.069,0.039
E,12,E12,W2_2,W2_93,B,0.05,0.097,0.037
D,12,D12,W2_2,W2_92,B,0.055,0.116,0.037
C,12,C12,W2_2,W2_91,B,0.041,0.062,0.036
B,12,B12,W2_2,W2_90,B,0.054,0.095,0.039
A,12,A12,W2_2,W2_89,B,0.041,0.052,0.04
H,11,H11,W2_2,W2_88,B,0.056,0.091,0.044
G,11,G11,W2_2,W2_87,B,0.062,0.115,0.042
F,11,F11,W2_2,W2_86,B,0.053,0.084,0.044
E,11,E11,W2_2,W2_85,B,0.046,0.062,0.043
D,11,D11,W2_2,W2_84,B,0.041,0.05,0.041
C,11,C11,W2_2,W2_83,B,0.042,0.05,0.041
B,11,B11,W2_2,W2_82,B,0.051,0.084,0.043
A,11,A11,W2_2,W2_81,B,0.057,0.096,0.045
H,10,H10,W2_2,W2_80,B,0.062,0.128,0.045
G,10,G10,W2_2,W2_79,B,0.046,0.061,0.044
F,10,F10,W2_2,W2_78,B,0.059,0.108,0.046
E,10,E10,W2_2,W2_77,B,0.054,0.098,0.041
D,10,D10,W2_2,W2_76,B,0.044,0.057,0.041
C,10,C10,W2_2,W2_75,B,0.052,0.087,0.042
B,10,B10,W2_2,W2_74,B,0.042,0.047,0.044
A,10,A10,W2_2,W2_72,B,0.049,0.071,0.046
H,9,H9,W2_2,W2_73,B,0.058,0.09,0.048
G,9,G9,W2_2,W2_71,B,0.05,0.052,0.055
F,9,F9,W2_2,W2_70,B,0.045,0.053,0.044
E,9,E9,W2_2,W2_69,B,0.048,0.051,0.054
D,9,D9,W2_2,W2_68,B,0.043,0.054,0.041
C,9,C9,W2_2,W2_67,B,0.043,0.051,0.043
B,9,B9,W2_2,W2_66,B,0.048,0.071,0.043
A,9,A9,W2_2,W2_65,B,0.035,0.035,0.04
H,8,H8,W2_2,W2_64,B,0.053,0.094,0.042
G,8,G8,W2_2,W2_63,B,0.046,0.061,0.044
F,8,F8,W2_2,W2_62,B,0.042,0.047,0.043
E,8,E8,W2_2,W2_61,B,0.047,0.069,0.043
D,8,D8,W2_2,W2_60,B,0.05,0.083,0.04
C,8,C8,W2_2,W2_59,B,0.046,0.066,0.042
B,8,B8,W2_2,W2_58,B,0.064,0.133,0.043
A,8,A8,W2_2,W2_57,B,0.046,0.054,0.047
H,7,H7,W2_2,W2_56,B,0.049,0.073,0.044
G,7,G7,W2_2,W2_55,B,0.048,0.071,0.044
F,7,F7,W2_2,W2_54,B,0.048,0.061,0.044
E,7,E7,W2_2,W2_53,B,0.042,0.045,0.043
D,7,D7,W2_2,W2_52,B,0.064,0.119,0.042
C,7,C7,W2_2,W2_51,B,0.047,0.06,0.043
B,7,B7,W2_2,W2_50,B,0.048,0.054,0.048
A,7,A7,W2_2,W2_49,B,0.055,0.085,0.048
H,6,H6,W2_2,W2_48,B,0.053,0.072,0.049
G,6,G6,W2_2,W2_47,B,0.057,0.063,0.054
F,6,F6,W2_2,W2_46,B,0.057,0.099,0.045
E,6,E6,W2_2,W2_45,B,0.063,0.114,0.046
D,6,D6,W2_2,W2_44,B,0.043,0.052,0.042
C,6,C6,W2_2,W2_43,B,0.049,0.072,0.043
B,6,B6,W2_2,W2_42,B,0.051,0.072,0.046
A,6,A6,W2_2,W2_41,B,0.057,0.094,0.046
H,5,H5,W2_2,W2_40,B,0.067,0.136,0.046
G,5,G5,W2_2,W2_39,B,0.075,0.164,0.045
F,5,F5,W2_2,W2_38,B,0.052,0.078,0.045
E,5,E5,W2_2,W2_37,B,0.053,0.089,0.043
D,5,D5,W2_2,W2_36,B,0.045,0.057,0.043
C,5,C5,W2_2,W2_35,B,0.098,0.254,0.043
